"ticker","date","amount"
"PPL.TO","2009-10-23",0.1300
"PPL.TO","2009-11-23",0.1300
"PPL.TO","2009-12-29",0.1300
"PPL.TO","2010-01-21",0.1300
"PPL.TO","2010-02-23",0.1300
"PPL.TO","2010-03-23",0.1300
"PPL.TO","2010-04-21",0.1300
"PPL.TO","2010-05-20",0.1300
"PPL.TO","2010-06-23",0.1300
"PPL.TO","2010-07-21",0.1300
"PPL.TO","2010-08-23",0.1300
"PPL.TO","2010-09-22",0.1300
"PPL.TO","2010-10-21",0.1300
"PPL.TO","2010-11-23",0.1300
"PPL.TO","2010-12-29",0.1300
"PPL.TO","2011-01-21",0.1300
"PPL.TO","2011-02-23",0.1300
"PPL.TO","2011-03-23",0.1300
"PPL.TO","2011-04-20",0.1300
"PPL.TO","2011-05-20",0.1300
"PPL.TO","2011-06-22",0.1300
"PPL.TO","2011-07-21",0.1300
"PPL.TO","2011-08-23",0.1300
"PPL.TO","2011-09-21",0.1300
"PPL.TO","2011-10-21",0.1300
"PPL.TO","2011-11-23",0.1300
"PPL.TO","2011-12-28",0.1300
"PPL.TO","2012-01-23",0.1300
"PPL.TO","2012-02-22",0.1300
"PPL.TO","2012-03-21",0.1300
"PPL.TO","2012-04-23",0.1350
"PPL.TO","2012-05-23",0.1350
"PPL.TO","2012-06-21",0.1350
"PPL.TO","2012-07-23",0.1350
"PPL.TO","2012-08-22",0.1350
"PPL.TO","2012-09-21",0.1350
"PPL.TO","2012-10-23",0.1350
"PPL.TO","2012-11-21",0.1350
"PPL.TO","2012-12-27",0.1350
"PPL.TO","2013-01-23",0.1350
"PPL.TO","2013-02-21",0.1350
"PPL.TO","2013-03-21",0.1350
"PPL.TO","2013-04-23",0.1350
"PPL.TO","2013-05-22",0.1350
"PPL.TO","2013-06-21",0.1350
"PPL.TO","2013-07-23",0.1350
"PPL.TO","2013-08-21",0.1400
"PPL.TO","2013-09-23",0.1400
"PPL.TO","2013-10-23",0.1400
"PPL.TO","2013-11-21",0.1400
"PPL.TO","2013-12-27",0.1400
"PPL.TO","2014-01-22",0.1400
"PPL.TO","2014-02-21",0.1400
"PPL.TO","2014-03-21",0.1400
"PPL.TO","2014-04-23",0.1400
"PPL.TO","2014-05-21",0.1450
"PPL.TO","2014-06-23",0.1450
"PPL.TO","2014-07-23",0.1450
"PPL.TO","2014-08-21",0.1450
"PPL.TO","2014-09-23",0.1450
"PPL.TO","2014-10-22",0.1450
"PPL.TO","2014-11-21",0.1450
"PPL.TO","2014-12-29",0.1450
"PPL.TO","2015-01-21",0.1450
"PPL.TO","2015-02-23",0.1450
"PPL.TO","2015-03-23",0.1450
"PPL.TO","2015-04-22",0.1450
"PPL.TO","2015-05-21",0.1530
"PPL.TO","2015-06-23",0.1530
"PPL.TO","2015-07-22",0.1530
"PPL.TO","2015-08-21",0.1530
"PPL.TO","2015-09-23",0.1530
"PPL.TO","2015-10-21",0.1530
"PPL.TO","2015-11-23",0.1530
"PPL.TO","2015-12-29",0.1530
"PPL.TO","2016-01-21",0.1530
"PPL.TO","2016-02-23",0.1530
"PPL.TO","2016-03-22",0.1530
"PPL.TO","2016-04-21",0.1600
"PPL.TO","2016-05-20",0.1600
"PPL.TO","2016-06-22",0.1600
"PPL.TO","2016-07-21",0.1600
"PPL.TO","2016-08-23",0.1600
"PPL.TO","2016-09-21",0.1600
"PPL.TO","2016-10-21",0.1600
"PPL.TO","2016-11-23",0.1600
"PPL.TO","2016-12-28",0.1600
"PPL.TO","2017-01-23",0.1600
"PPL.TO","2017-02-22",0.1600
"PPL.TO","2017-03-22",0.1600
"PPL.TO","2017-04-21",0.1700
"PPL.TO","2017-05-23",0.1700
"PPL.TO","2017-06-21",0.1700
"PPL.TO","2017-07-21",0.1700
"PPL.TO","2017-08-23",0.1700
"PPL.TO","2017-09-22",0.1700
"PPL.TO","2017-10-24",0.1800
"PPL.TO","2017-11-23",0.1800
"PPL.TO","2017-12-28",0.1800
"PPL.TO","2018-01-24",0.1800
"PPL.TO","2018-02-22",0.1800
"PPL.TO","2018-03-22",0.1800
"PPL.TO","2018-04-24",0.1800
"PPL.TO","2018-05-24",0.1900
"PPL.TO","2018-06-22",0.1900
"PPL.TO","2018-07-24",0.1900
"PPL.TO","2018-08-23",0.1900
"PPL.TO","2018-09-24",0.1900
"PPL.TO","2018-10-24",0.1900
"PPL.TO","2018-11-22",0.1900
"PPL.TO","2018-12-28",0.1900
"PPL.TO","2019-01-24",0.1900
"PPL.TO","2019-02-22",0.1900
"PPL.TO","2019-03-22",0.1900
"PPL.TO","2019-04-24",0.1900
"PPL.TO","2019-05-23",0.2000
"PPL.TO","2019-06-24",0.2000
"PPL.TO","2019-07-24",0.2000
"PPL.TO","2019-08-22",0.2000
"PPL.TO","2019-09-24",0.2000
"PPL.TO","2019-10-24",0.2000
"PPL.TO","2019-11-22",0.2000
"PPL.TO","2019-12-30",0.2000
"PPL.TO","2020-01-23",0.2100
"PPL.TO","2020-02-24",0.2100
"PPL.TO","2020-03-24",0.2100
"PPL.TO","2020-04-23",0.2100
"PPL.TO","2020-05-22",0.2100
"PPL.TO","2020-06-24",0.2100
"PPL.TO","2020-07-23",0.2100
"PPL.TO","2020-08-24",0.2100
"PPL.TO","2020-09-24",0.2100
"PPL.TO","2020-10-22",0.2100
"PPL.TO","2020-11-24",0.2100
"PPL.TO","2020-12-30",0.2100
"PPL.TO","2021-01-22",0.2100
"PPL.TO","2021-02-24",0.2100
"PPL.TO","2021-03-24",0.2100
"PPL.TO","2021-04-22",0.2100
"PPL.TO","2021-05-21",0.2100
"PPL.TO","2021-06-24",0.2100
"PPL.TO","2021-07-22",0.2100
"PPL.TO","2021-08-24",0.2100
"PPL.TO","2021-09-23",0.2100
"PPL.TO","2021-10-22",0.2100
"PPL.TO","2021-11-23",0.2100
"PPL.TO","2021-12-30",0.2100
"PPL.TO","2022-01-24",0.2100
"PPL.TO","2022-02-24",0.2100
"PPL.TO","2022-03-24",0.2100
"PPL.TO","2022-04-22",0.2100
"PPL.TO","2022-05-24",0.2100
"PPL.TO","2022-06-23",0.2100
"PPL.TO","2022-07-22",0.2100
"PPL.TO","2022-08-24",0.2100
"PPL.TO","2022-09-22",0.2180
"PPL.TO","2022-10-24",0.2180
"PPL.TO","2022-11-24",0.2180
"PPL.TO","2022-12-14",0.2180
"PPL.TO","2023-03-14",0.6530
"PPL.TO","2023-06-14",0.6680
"PPL.TO","2023-09-14",0.6680
"PPL.TO","2023-12-14",0.6680
"PPL.TO","2024-03-14",0.6680
"PPL.TO","2024-06-17",0.6900
"PPL.TO","2024-09-16",0.6900
"PPL.TO","2024-12-16",0.6900
"PPL.TO","2025-03-17",0.6900
"PPL.TO","2025-06-16",0.7100
"PPL.TO","2025-09-15",0.7100
"PPL.TO","2025-12-15",0.7100
"PPL.TO","2026-03-16",0.7100
"SLF.TO","2000-11-08",0.1200
"SLF.TO","2001-02-22",0.1200
"SLF.TO","2001-05-23",0.1200
"SLF.TO","2001-08-23",0.1200
